wetland,zone,core,c_stock_0_100_est
DF,A,1,47.14888477761896
DF,A,2,49.6612932860955
DF,A,3,49.84666017282088
DF,B,1,13.508894723341172
DF,B,2,18.35094129004185
DF,B,3,10.531064069161443
DF,C,1,24.30438926264452
DF,C,2,30.47128232863058
DF,C,3,19.70410737165322
FN,A,1,17.23527466363028
FN,A,2,17.662994591840082
FN,A,3,17.725493857486224
FN,B,1,21.31812206017471
FN,B,2,18.016294917097383
FN,B,3,18.683789378546805
FN,C,1,28.82511170751271
FN,C,2,23.482711952582648
FN,C,3,32.288983380230754
FR,A,1,22.460035636716015
FR,A,2,22.785590814201342
FR,A,3,28.351155195032185
FR,B,1,31.481050992373486
FR,B,2,28.271696420187997
FR,B,3,24.854169633437294
FR,C,1,23.92861446643142
FR,C,2,23.564225358851857
FR,C,3,29.20841690652367
GR,A,1,22.76287329263828
GR,A,2,19.17602829572789
GR,A,3,15.073066262806723
GR,B,1,24.592893852136093
GR,B,2,22.844194222826225
GR,B,3,27.867282318940546
GR,C,1,17.494652127470086
GR,C,2,16.317272337789227
GR,C,3,16.330103022879733
JU,A,1,44.76882198406542
JU,A,2,39.501453431007846
JU,A,3,45.11999585471121
JU,B,1,48.228888027218495
JU,B,2,43.25424234758865
JU,B,3,43.50066228611112
JU,C,1,33.59290042928387
JU,C,2,32.94173390336299
JU,C,3,25.606924124799953
SR,A,1,21.518689268407783
SR,A,2,10.618209360899286
SR,B,1,19.035559805857485
SR,B,2,21.236816074891596
SR,B,3,19.012055323516524
SR,C,1,10.447157929565359
SR,C,2,12.033094476771815
SR,C,3,11.152698429872373
