wetland,n_gf,max,median,iqr,mad,days_wet,date_dry,date_wet,n_dry,rcv,med_delta
BB,0,0.5010705876666663,0.309842283625,0.48638625804166674,0.22812201051412473,264,209,336,5,73.62520306951367,0.0093028205833337
DB,0,1.1107369450416669,0.5868579194583333,0.9134874823749993,0.6285509040242242,293,242,335,4,107.10444269106452,0.01097154987500037
DK,270,0.7069671173597647,0.4256246226771216,0.6357561612917312,0.3627670024605895,291,212,328,7,85.23167672462976,0.01080159654166704
GN,365,0.6203746884637505,0.48932621652383534,0.537943280867857,0.1584161714003808,284,257,338,1,32.374347838087736,0.00857762266076861
JA,0,0.5324305145833336,0.27187612145833295,0.60262265375,0.32647959767832563,231,184,336,6,120.08395438595407,0.00702225929166683
JB,210,0.6833388659684098,0.3939694648841911,0.6670232627606538,0.38092912866974643,264,230,336,3,96.69001347140497,0.00673091523620039
JC,0,0.5568540117916668,0.2541671251249997,0.599366985208334,0.4037139890465504,247,207,336,2,158.8380042651084,0.00783697308333342
NB,238,0.5691217633214745,0.18008932430167457,0.9187115798960056,0.5139341415888665,228,192,343,3,285.37735014650593,0.00608265751816616
ND,0,1.0941288673750005,0.6584141956666667,0.9815049307916668,0.5923849313518496,284,245,343,7,89.97147012482617,0.0100357443333332
QB,0,0.794914910666667,0.5059135161666665,0.8396713385833332,0.3809135992206999,251,229,344,2,75.29223613294668,0.00718477716666665
TA,0,1.0527513128333332,0.4231655627500003,1.1614228404999996,0.7647989027929236,244,212,348,2,180.73278407221315,0.00849023120833358
TB,0,0.8822831996666668,0.5956590274166668,0.8401674899583336,0.3723386494623245,270,242,344,2,62.50868908629358,0.01039901958333322
